OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10977,FOLKO,8,"Thursday, March 26, 1998","Thursday, April 23, 1998","Friday, April 10, 1998",3,208.5,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10988,RATTC,3,"Tuesday, March 31, 1998","Tuesday, April 28, 1998","Friday, April 10, 1998",2,61.14,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10993,FOLKO,7,"Wednesday, April 1, 1998","Wednesday, April 29, 1998","Friday, April 10, 1998",3,8.81,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10996,QUICK,4,"Thursday, April 2, 1998","Thursday, April 30, 1998","Friday, April 10, 1998",2,1.12,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10999,OTTIK,6,"Friday, April 3, 1998","Friday, May 1, 1998","Friday, April 10, 1998",2,96.35,Ottilies Käseladen,Mehrheimerstr. 369,Köln,NULL,50739,Germany
11005,WILMK,2,"Tuesday, April 7, 1998","Tuesday, May 5, 1998","Friday, April 10, 1998",1,0.75,Wilman Kala,Keskuskatu 45,Helsinki,NULL,21240,Finland
11009,GODOS,2,"Wednesday, April 8, 1998","Wednesday, May 6, 1998","Friday, April 10, 1998",1,59.11,Godos Cocina Típica,C/ Romero 33,Sevilla,NULL,41101,Spain
11013,ROMEY,2,"Thursday, April 9, 1998","Thursday, May 7, 1998","Friday, April 10, 1998",1,32.99,Romero y tomillo,Gran Vía 1,Madrid,NULL,28001,Spain
10492,BOTTM,3,"Tuesday, April 1, 1997","Tuesday, April 29, 1997","Friday, April 11, 1997",1,62.89,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10495,LAUGB,3,"Thursday, April 3, 1997","Thursday, May 1, 1997","Friday, April 11, 1997",3,4.65,Laughing Bacchus Wine Cellars,2319 Elm St.,Vancouver,BC,V3F 2K1,Canada
10498,HILAA,8,"Monday, April 7, 1997","Monday, May 5, 1997","Friday, April 11, 1997",2,29.75,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10980,FOLKO,4,"Friday, March 27, 1998","Friday, May 8, 1998","Friday, April 17, 1998",1,1.26,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10998,WOLZA,8,"Friday, April 3, 1998","Friday, April 17, 1998","Friday, April 17, 1998",2,20.31,Wolski Zajazd,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland
11012,FRANK,1,"Thursday, April 9, 1998","Thursday, April 23, 1998","Friday, April 17, 1998",3,242.95,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10504,WHITC,4,"Friday, April 11, 1997","Friday, May 9, 1997","Friday, April 18, 1997",3,59.13,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10970,BOLID,9,"Tuesday, March 24, 1998","Tuesday, April 7, 1998","Friday, April 24, 1998",1,16.16,Bólido Comidas preparadas,C/ Araquil 67,Madrid,NULL,28023,Spain
11023,BSBEV,1,"Tuesday, April 14, 1998","Tuesday, April 28, 1998","Friday, April 24, 1998",2,123.83,B's Beverages,Fauntleroy Circus,London,NULL,EC2 5NT,UK
11025,WARTH,6,"Wednesday, April 15, 1998","Wednesday, May 13, 1998","Friday, April 24, 1998",3,29.17,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
11031,SAVEA,6,"Friday, April 17, 1998","Friday, May 15, 1998","Friday, April 24, 1998",2,227.22,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
11035,SUPRD,2,"Monday, April 20, 1998","Monday, May 18, 1998","Friday, April 24, 1998",2,0.17,Suprêmes délices,Boulevard Tirou 255,Charleroi,NULL,B-6000,Belgium
11046,WANDK,8,"Thursday, April 23, 1998","Thursday, May 21, 1998","Friday, April 24, 1998",2,71.64,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10483,WHITC,7,"Monday, March 24, 1997","Monday, April 21, 1997","Friday, April 25, 1997",2,15.28,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10974,SPLIR,3,"Wednesday, March 25, 1998","Wednesday, April 8, 1998","Friday, April 3, 1998",3,12.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10976,HILAA,1,"Wednesday, March 25, 1998","Wednesday, May 6, 1998","Friday, April 3, 1998",1,37.97,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10984,SAVEA,1,"Monday, March 30, 1998","Monday, April 27, 1998","Friday, April 3, 1998",3,211.22,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10992,THEBI,1,"Wednesday, April 1, 1998","Wednesday, April 29, 1998","Friday, April 3, 1998",3,4.27,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10475,SUPRD,9,"Friday, March 14, 1997","Friday, April 11, 1997","Friday, April 4, 1997",1,68.52,Suprêmes délices,Boulevard Tirou 255,Charleroi,NULL,B-6000,Belgium
10608,TOMSP,4,"Wednesday, July 23, 1997","Wednesday, August 20, 1997","Friday, August 1, 1997",2,27.79,Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany
10611,WOLZA,6,"Friday, July 25, 1997","Friday, August 22, 1997","Friday, August 1, 1997",2,80.65,Wolski Zajazd,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland
10612,SAVEA,1,"Monday, July 28, 1997","Monday, August 25, 1997","Friday, August 1, 1997",2,544.08,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10613,HILAA,4,"Tuesday, July 29, 1997","Tuesday, August 26, 1997","Friday, August 1, 1997",2,8.11,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10614,BLAUS,8,"Tuesday, July 29, 1997","Tuesday, August 26, 1997","Friday, August 1, 1997",3,1.93,Blauer See Delikatessen,Forsterstr. 57,Mannheim,NULL,68306,Germany
10631,LAMAI,8,"Thursday, August 14, 1997","Thursday, September 11, 1997","Friday, August 15, 1997",1,0.87,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10274,VINET,6,"Tuesday, August 6, 1996","Tuesday, September 3, 1996","Friday, August 16, 1996",1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10278,BERGS,8,"Monday, August 12, 1996","Monday, September 9, 1996","Friday, August 16, 1996",2,92.69,Berglunds snabbköp,Berguvsvägen 8,Luleå,NULL,S-958 22,Sweden
10279,LEHMS,8,"Tuesday, August 13, 1996","Tuesday, September 10, 1996","Friday, August 16, 1996",2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10268,GROSR,8,"Tuesday, July 30, 1996","Tuesday, August 27, 1996","Friday, August 2, 1996",3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10270,WARTH,1,"Thursday, August 1, 1996","Thursday, August 29, 1996","Friday, August 2, 1996",1,136.54,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10264,FOLKO,6,"Wednesday, July 24, 1996","Wednesday, August 21, 1996","Friday, August 23, 1996",3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10283,LILAS,3,"Friday, August 16, 1996","Friday, September 13, 1996","Friday, August 23, 1996",3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10649,MAISD,5,"Thursday, August 28, 1997","Thursday, September 25, 1997","Friday, August 29, 1997",3,6.2,Maison Dewey,Rue Joseph-Bens 532,Bruxelles,NULL,B-1180,Belgium
10271,SPLIR,6,"Thursday, August 1, 1996","Thursday, August 29, 1996","Friday, August 30, 1996",2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10286,QUICK,8,"Wednesday, August 21, 1996","Wednesday, September 18, 1996","Friday, August 30, 1996",3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10603,SAVEA,8,"Friday, July 18, 1997","Friday, August 15, 1997","Friday, August 8, 1997",2,48.77,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10618,MEREP,1,"Friday, August 1, 1997","Friday, September 12, 1997","Friday, August 8, 1997",1,154.68,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10269,WHITC,5,"Wednesday, July 31, 1996","Wednesday, August 14, 1996","Friday, August 9, 1996",1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10275,MAGAA,1,"Wednesday, August 7, 1996","Wednesday, September 4, 1996","Friday, August 9, 1996",1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10759,ANATR,3,"Friday, November 28, 1997","Friday, December 26, 1997","Friday, December 12, 1997",3,11.99,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,NULL,05021,Mexico
10769,VAFFE,3,"Monday, December 8, 1997","Monday, January 5, 1998","Friday, December 12, 1997",1,65.06,Vaffeljernet,Smagsloget 45,Århus,NULL,8200,Denmark
10774,FOLKO,4,"Thursday, December 11, 1997","Thursday, December 25, 1997","Friday, December 12, 1997",1,48.2,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10376,MEREP,1,"Monday, December 9, 1996","Monday, January 6, 1997","Friday, December 13, 1996",2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10377,SEVES,1,"Monday, December 9, 1996","Monday, January 6, 1997","Friday, December 13, 1996",3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10379,QUEDE,2,"Wednesday, December 11, 1996","Wednesday, January 8, 1997","Friday, December 13, 1996",1,45.03,Que Delícia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10381,LILAS,3,"Thursday, December 12, 1996","Thursday, January 9, 1997","Friday, December 13, 1996",3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10749,ISLAT,4,"Thursday, November 20, 1997","Thursday, December 18, 1997","Friday, December 19, 1997",2,61.53,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10772,LEHMS,3,"Wednesday, December 10, 1997","Wednesday, January 7, 1998","Friday, December 19, 1997",2,91.28,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10781,WARTH,2,"Wednesday, December 17, 1997","Wednesday, January 14, 1998","Friday, December 19, 1997",3,73.16,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10783,HANAR,4,"Thursday, December 18, 1997","Thursday, January 15, 1998","Friday, December 19, 1997",2,124.98,Hanari Carnes,Rua do Paço 67,Rio de Janeiro,RJ,05454-876,Brazil
10384,BERGS,3,"Monday, December 16, 1996","Monday, January 13, 1997","Friday, December 20, 1996",3,168.64,Berglunds snabbköp,Berguvsvägen 8,Luleå,NULL,S-958 22,Sweden
10387,SANTG,1,"Wednesday, December 18, 1996","Wednesday, January 15, 1997","Friday, December 20, 1996",2,93.63,Santé Gourmet,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
10388,SEVES,2,"Thursday, December 19, 1996","Thursday, January 16, 1997","Friday, December 20, 1996",1,34.86,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK
10775,THECR,7,"Friday, December 12, 1997","Friday, January 9, 1998","Friday, December 26, 1997",1,20.25,The Cracker Box,55 Grizzly Peak Rd.,Butte,MT,59801,USA
